OBJECTID,SURFTYPE,SURFUSE,SHAPE_Length,SHAPE_Area
76,Asphalt,Parking Lot,107.134499059227,167.367586577955
77,Asphalt,Parking Lot,1601.64157979045,4793.09509583402
78,Asphalt,Parking Lot,98.0041038130391,312.947982702214
79,Asphalt,Parking Lot,66.2108939650014,180.466158113564
80,Asphalt,Parking Lot,250.078798869732,1277.13855495932
81,Asphalt,Parking Lot,53.498772001563,116.965274137957
82,Asphalt,Parking Lot,748.547549033265,6167.40150613879
83,Asphalt,Parking Lot,231.913855929375,355.505522048339
84,Asphalt,Parking Lot,763.597145298051,2304.49410946619
85,Asphalt,Parking Lot,702.356991958969,6319.82619174599
86,Asphalt,Parking Lot,396.716760476982,1151.88690965747
87,Asphalt,Parking Lot,206.231101013344,801.966457601154
88,Asphalt,Parking Lot,124.210383540741,151.995860501747
89,Asphalt,Parking Lot,46.9163050444967,54.9133971439022
90,Asphalt,Parking Lot,41.0311772757678,89.0480273090038
91,Asphalt,Parking Lot,111.120853131614,172.00971534877
92,Asphalt,Parking Lot,90.1722790204064,216.769542764087
93,Concrete,Parking Lot,87.327890880958,118.810607296996
94,Asphalt,Parking Lot,988.109437796597,11724.0732541026
95,Asphalt,Parking Lot,31.0734534414761,51.6405040563331
96,Asphalt,Parking Lot,555.961286119086,1410.07864485983
97,Asphalt,Parking Lot,208.835859385339,264.75073337613
98,Asphalt,Parking Lot,113.623123083803,365.340514331889
99,Asphalt,Parking Lot,237.314780008482,1429.5724513719
100,Asphalt,Parking Lot,99.0769495522665,128.34672494513
101,Brickpaver,Parking Lot,65.0092815060138,109.313480994019
102,Asphalt,Parking Lot,33.9612363285125,69.9580445040818
103,Asphalt,Parking Lot,132.205531270698,239.975041070292
104,Asphalt,Parking Lot,2910.00584886628,25351.4252251391
105,Asphalt,Parking Lot,185.344676821285,671.199054738869
106,Asphalt,Parking Lot,1033.82949917493,23273.5347542273
107,Asphalt,Parking Lot,144.23954848998,1120.5643550493
108,Asphalt,Parking Lot,24.0195416294276,30.3909354931577
109,Asphalt,Parking Lot,309.571669706017,1457.67314775885
110,Concrete,Parking Lot,69.9424309642658,91.6832783577428
111,Asphalt,Parking Lot,135.557669407946,218.64435028874
112,Asphalt,Parking Lot,258.108419193079,2095.31774891217
113,Asphalt,Parking Lot,413.528530664722,5800.72673911023
114,Asphalt,Parking Lot,242.889639086601,1111.95039018705
115,Asphalt,Parking Lot,1822.1623179833,36378.0456959273
116,Asphalt,Parking Lot,80.0956261537378,120.319587737994
117,Asphalt,Parking Lot,230.143313757772,2106.90562617108
118,Asphalt,Parking Lot,64.9385727262512,101.369607812298
119,Concrete,Parking Lot,76.8314282508802,335.538710217178
120,Asphalt,Parking Lot,1382.39857996299,12100.240055401
121,Asphalt,Parking Lot,480.008973145727,3832.68474915733
122,Asphalt,Parking Lot,455.245019065442,3114.29297246849
123,Asphalt,Parking Lot,65.8003029660302,186.231897234631
124,Asphalt,Parking Lot,165.65714836847,1190.67554837221
125,Asphalt,Parking Lot,529.401401577557,5314.65711877133
126,Asphalt,Parking Lot,219.152584945362,911.834289240164
127,Asphalt,Parking Lot,345.106325807302,2088.17222684571
128,Asphalt,Parking Lot,249.65870959142,1720.60305951293
129,Asphalt,Parking Lot,3328.6073568231,35976.9406961412
130,Asphalt,Parking Lot,21.0411544517449,22.7830565482735
131,Asphalt,Parking Lot,543.477728603888,3275.25067896794
132,Asphalt,Parking Lot,503.902391150557,5456.781694746
133,Concrete,Parking Lot,53.455030457727,148.10360460789
134,Asphalt,Parking Lot,78.6767666147929,189.063007893726
135,Concrete,Parking Lot,235.646128141214,1451.74402692123
136,Asphalt,Parking Lot,585.701514345789,6237.89858759428
137,Asphalt,Parking Lot,44.8687183306881,51.4005979459386
138,Asphalt,Parking Lot,55.1451185975728,84.2745249061554
139,Asphalt,Parking Lot,282.185343951555,1255.75819828065
140,Asphalt,Parking Lot,706.633292835764,1004.91885592519
